title,model,field_published_stock_code,field_product_type,field_product_category,field_spring_type,field_product_series,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_appr_num_coil_buld_spec_in,field_appr_num_coils_per_in,field_appr_num_coils_per_mm,field_appr_num_coils_per_cm,field_stiffness_build_spec_lb_in,field_stiffness_lb_in,field_stiffness_n_mm,field_stiffness_n_cm,field_stiffness_kg_mm,field_stiffness_kg_cm,field_stiffness_gm_mm,field_stiffness_gm_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_direction_of_wind,field_total_coils_bd_spe,field_total_coils,field_finish,field_weight_per_item_lb
LEC014A 12 S,LEC014A 12 S,LEC014A12S,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.240,+/-0.240,+/-6,+/-0.6,0.0821,0.082,0.01438,0.1438,0.00147,0.0147,1.47,14.7,+/-0.008,+/-0.008,+/-0.0014,+/-0.014,+/-0.00014,+/-0.0014,+/-0.143,+/-1.43,0.097,0.097,2.46,0.246,Reference,Reference,Reference,Reference,71.429,71.4,2.8,28.1,35.112,35.1,200.5,2005,0.627,6.27,627,6270,0.014,0.014,0.36,0.036,0.0999,0.1,0.44,0.045,45,+/-0.02,+/-0.02,+/-0.089,+/-0.009,+/-9,Right Hand,856.1428,856,Natural,0.014024
LEC014A 24 M,LEC014A 24 M,LEC014A24M,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.0985,0.099,0.01725,0.1725,0.00176,0.0176,1.76,17.6,+/-0.01,+/-0.01,+/-0.00175,+/-0.0175,+/-0.00018,+/-0.0018,+/-0.179,+/-1.79,0.097,0.097,2.46,0.246,Reference,Reference,Reference,Reference,71.429,71.4,2.8,28.1,42.134,42.1,240.6,2406,0.752,7.52,752,7520,0.014,0.014,0.36,0.036,0.12,0.12,0.53,0.054,54,+/-0.024,+/-0.024,+/-0.107,+/-0.011,+/-11,Right Hand,1713.2857,1713,Light Oil Coat,0.027507
LEC014A 24 S,LEC014A 24 S,LEC014A24S,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.0821,0.082,0.01438,0.1438,0.00147,0.0147,1.47,14.7,+/-0.008,+/-0.008,+/-0.0014,+/-0.014,+/-0.00014,+/-0.0014,+/-0.143,+/-1.43,0.097,0.097,2.46,0.246,Reference,Reference,Reference,Reference,71.429,71.4,2.8,28.1,35.112,35.1,200.5,2005,0.627,6.27,627,6270,0.014,0.014,0.36,0.036,0.0999,0.1,0.44,0.045,45,+/-0.02,+/-0.02,+/-0.089,+/-0.009,+/-9,Right Hand,1713.2857,1713,Natural,0.028031
LEC014A 36 M,LEC014A 36 M,LEC014A36M,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.0985,0.099,0.01725,0.1725,0.00176,0.0176,1.76,17.6,+/-0.01,+/-0.01,+/-0.00175,+/-0.0175,+/-0.00018,+/-0.0018,+/-0.179,+/-1.79,0.097,0.097,2.46,0.246,Reference,Reference,Reference,Reference,71.429,71.4,2.8,28.1,42.134,42.1,240.6,2406,0.752,7.52,752,7520,0.014,0.014,0.36,0.036,0.12,0.12,0.53,0.054,54,+/-0.024,+/-0.024,+/-0.107,+/-0.011,+/-11,Right Hand,2570.4285,2570,Light Oil Coat,0.041252
LEC014A 36 S,LEC014A 36 S,LEC014A36S,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.0821,0.082,0.01438,0.1438,0.00147,0.0147,1.47,14.7,+/-0.008,+/-0.008,+/-0.0014,+/-0.014,+/-0.00014,+/-0.0014,+/-0.143,+/-1.43,0.097,0.097,2.46,0.246,Reference,Reference,Reference,Reference,71.429,71.4,2.8,28.1,35.112,35.1,200.5,2005,0.627,6.27,627,6270,0.014,0.014,0.36,0.036,0.0999,0.1,0.44,0.045,45,+/-0.02,+/-0.02,+/-0.089,+/-0.009,+/-9,Right Hand,2570.4285,2570,Natural,0.042038
LEC016A 12 M,LEC016A 12 M,LEC016A12M,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.2029,0.203,0.03553,0.3553,0.00362,0.0362,3.62,36.2,+/-0.02,+/-0.02,+/-0.0035,+/-0.035,+/-0.00036,+/-0.0036,+/-0.357,+/-3.57,0.093,0.093,2.36,0.236,Reference,Reference,Reference,Reference,62.5,62.5,2.5,24.6,75.909,75.9,433.4,4334,1.356,13.56,1356,13560,0.016,0.016,0.41,0.041,0.2,0.2,0.89,0.091,91,+/-0.04,+/-0.04,+/-0.178,+/-0.018,+/-18,Right Hand,749,749,Light Oil Coat,0.015447
LEC016A 12 S,LEC016A 12 S,LEC016A12S,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.240,+/-0.240,+/-6,+/-0.6,0.1691,0.169,0.02961,0.2961,0.00302,0.0302,3.02,30.2,+/-0.017,+/-0.017,+/-0.00298,+/-0.0298,+/-0.0003,+/-0.003,+/-0.304,+/-3.04,0.093,0.093,2.36,0.236,Reference,Reference,Reference,Reference,62.5,62.5,2.5,24.6,63.257,63.3,361.2,3612,1.13,11.3,1130,11300,0.016,0.016,0.41,0.041,0.1666,0.17,0.74,0.076,76,+/-0.033,+/-0.033,+/-0.147,+/-0.015,+/-15,Right Hand,749,749,Natural,0.015741
LEC016A 24 M,LEC016A 24 M,LEC016A24M,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.2029,0.203,0.03553,0.3553,0.00362,0.0362,3.62,36.2,+/-0.02,+/-0.02,+/-0.0035,+/-0.035,+/-0.00036,+/-0.0036,+/-0.357,+/-3.57,0.093,0.093,2.36,0.236,Reference,Reference,Reference,Reference,62.5,62.5,2.5,24.6,75.909,75.9,433.4,4334,1.356,13.56,1356,13560,0.016,0.016,0.41,0.041,0.2,0.2,0.89,0.091,91,+/-0.04,+/-0.04,+/-0.178,+/-0.018,+/-18,Right Hand,1499,1499,Light Oil Coat,0.030873
LEC016A 24 S,LEC016A 24 S,LEC016A24S,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.1691,0.169,0.02961,0.2961,0.00302,0.0302,3.02,30.2,+/-0.017,+/-0.017,+/-0.00298,+/-0.0298,+/-0.0003,+/-0.003,+/-0.304,+/-3.04,0.093,0.093,2.36,0.236,Reference,Reference,Reference,Reference,62.5,62.5,2.5,24.6,63.257,63.3,361.2,3612,1.13,11.3,1130,11300,0.016,0.016,0.41,0.041,0.1666,0.17,0.74,0.076,76,+/-0.033,+/-0.033,+/-0.147,+/-0.015,+/-15,Right Hand,1499,1499,Natural,0.031461
LEC016A 36 M,LEC016A 36 M,LEC016A36M,Specialty Spring,Stock,91,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.2029,0.203,0.03553,0.3553,0.00362,0.0362,3.62,36.2,+/-0.02,+/-0.02,+/-0.0035,+/-0.035,+/-0.00036,+/-0.0036,+/-0.357,+/-3.57,0.093,0.093,2.36,0.236,Reference,Reference,Reference,Reference,62.5,62.5,2.5,24.6,75.909,75.9,433.4,4334,1.356,13.56,1356,13560,0.016,0.016,0.41,0.041,0.2,0.2,0.89,0.091,91,+/-0.04,+/-0.04,+/-0.178,+/-0.018,+/-18,Right Hand,2249,2249,Light Oil Coat,0.046299
